time, pn-10A04R02T01, pn-10A12R02T01, pn-10A22R02T01, pn-10A35R02T01, pn-10A49R02T01, pn-10A58R02T01
(s), (Pa), (Pa), (Pa), (Pa), (Pa), (Pa)
224.1949005126953, 322336.21875, 316723.125, 309750.53125, 306302.53125, 304459.1875, 303454.6875
224.2991943359375, 322458.15625, 316845.4375, 309899.3125, 306399.96875, 304657.8125, 303552.65625
224.40219116210938, 322347.78125, 316734.59375, 309756.8125, 306373.875, 304583.53125, 303392.59375
224.50450134277344, 322177.84375, 316564.28125, 309620.34375, 306357.75, 304408.1875, 303337.625
224.60641479492188, 322228.40625, 316615.46875, 309668.28125, 306488.375, 304432.9375, 303379.625
224.70669555664062, 322387.53125, 316774.75, 309849.40625, 306877.5625, 304474.78125, 303424.78125
224.80726623535156, 322265.375, 316652.4375, 309688.90625, 306447.875, 304574.0625, 303520.25
224.9087371826172, 322431.40625, 316817.96875, 309864.5625, 306537.96875, 304781.90625, 303705.5
225.01028442382812, 322559.78125, 316946.6875, 309986.375, 306672.90625, 304786.78125, 303668.5
225.11355590820312, 322509.84375, 316896.8125, 309935.90625, 306557.90625, 304558.15625, 303433.59375
225.21426391601562, 322412.9375, 316800.0, 309832.9375, 306493.28125, 304678.46875, 303660.34375
225.31654357910156, 322462.5, 316848.59375, 309880.59375, 306602.0, 304735.78125, 303708.875
225.4180908203125, 322530.09375, 316917.0625, 309941.78125, 306731.8125, 304510.4375, 303476.625
225.51910400390625, 322553.8125, 316940.625, 309990.84375, 306833.375, 304679.59375, 303681.84375
225.62156677246094, 322729.53125, 317116.46875, 310146.09375, 306834.03125, 305178.625, 304056.625
225.7272491455078, 322996.78125, 317383.78125, 310423.75, 307073.375, 305092.71875, 303869.75
225.82879638671875, 322669.90625, 317056.8125, 310085.59375, 306494.375, 304863.4375, 303652.75
225.93389892578125, 322353.875, 316741.03125, 309785.375, 306317.5, 304746.78125, 303661.4375
226.0341796875, 322354.0625, 316740.40625, 309750.625, 306586.875, 304709.21875, 303634.40625
226.1362762451172, 322507.125, 316893.625, 309929.625, 306855.53125, 304715.84375, 303658.0
226.2410125732422, 322453.90625, 316839.4375, 309866.71875, 306657.5625, 304687.5, 303725.15625
226.34457397460938, 322441.03125, 316827.875, 309867.625, 306343.03125, 304817.25, 303763.1875
226.44473266601562, 322477.65625, 316864.0625, 309890.03125, 306414.71875, 304453.375, 303532.5
226.5457305908203, 322592.90625, 316980.65625, 310032.71875, 306776.625, 304744.6875, 303788.25
226.6465606689453, 322129.53125, 316515.5, 309534.09375, 305906.59375, 304347.0625, 303455.40625
226.74664306640625, 322021.4375, 316408.3125, 309454.09375, 306004.78125, 304292.90625, 303367.15625
226.84681701660156, 321875.8125, 316262.59375, 309269.1875, 306182.625, 304230.6875, 303341.625
226.9495849609375, 321696.71875, 316083.90625, 309136.53125, 306126.4375, 304212.09375, 303389.15625
227.0499267578125, 321614.71875, 316001.6875, 309045.625, 305645.75, 304131.4375, 303272.71875
227.15255737304688, 321719.6875, 316107.21875, 309176.53125, 305682.875, 304145.0, 303290.71875
227.2527313232422, 321908.34375, 316295.78125, 309344.21875, 306240.84375, 304191.53125, 303353.8125
227.3553466796875, 322030.28125, 316417.46875, 309463.875, 306226.125, 304346.5, 303505.46875
227.4562225341797, 322051.09375, 316437.9375, 309465.625, 305963.6875, 304170.8125, 303342.4375
227.5570068359375, 321887.71875, 316275.125, 309336.03125, 306033.84375, 304166.46875, 303410.5625
227.65896606445312, 321739.875, 316127.0, 309175.40625, 305959.84375, 304034.90625, 303250.875
227.76156616210938, 321868.3125, 316253.78125, 309245.65625, 306091.6875, 304116.96875, 303377.71875
227.86288452148438, 321847.75, 316234.9375, 309278.875, 306200.8125, 304065.75, 303294.34375
227.96470642089844, 321887.3125, 316274.34375, 309308.40625, 305840.40625, 304224.84375, 303417.5
228.0647735595703, 321842.78125, 316229.71875, 309272.71875, 305875.34375, 303980.5, 303215.875
228.16600036621094, 321849.25, 316236.0, 309268.09375, 305996.875, 304024.40625, 303271.03125
228.26678466796875, 321908.875, 316295.6875, 309322.6875, 306006.375, 304046.0, 303271.25
228.36776733398438, 321921.1875, 316308.03125, 309361.28125, 306002.96875, 304132.875, 303381.75
228.4691162109375, 321898.25, 316284.875, 309300.34375, 305821.4375, 303969.78125, 303221.1875
228.57028198242188, 321973.78125, 316359.03125, 309404.15625, 306085.4375, 303815.5, 303193.5625
228.6703643798828, 321803.25, 316190.09375, 309227.5625, 305941.0625, 303914.59375, 303172.125
228.7734832763672, 321818.84375, 316205.78125, 309252.28125, 306020.0625, 304117.5625, 303399.03125
228.87451171875, 321675.96875, 316063.21875, 309122.96875, 305866.90625, 303976.71875, 303264.875
228.97869873046875, 321726.6875, 316113.75, 309154.125, 305968.84375, 303964.65625, 303239.5
229.0799560546875, 321672.03125, 316059.09375, 309103.03125, 305844.3125, 303959.21875, 303198.6875
229.1820831298828, 321706.96875, 316094.03125, 309139.34375, 305873.09375, 303959.125, 303231.125
229.28561401367188, 321839.4375, 316226.3125, 309262.5625, 305919.96875, 303965.6875, 303216.3125
229.39028930664062, 321864.28125, 316251.375, 309301.21875, 305864.25, 304001.90625, 303269.4375
229.4933319091797, 321779.15625, 316165.78125, 309191.125, 305860.8125, 304044.96875, 303331.4375
229.59339904785156, 321872.75, 316261.90625, 309309.21875, 306102.625, 304022.21875, 303356.09375
229.69580078125, 321823.78125, 316210.625, 309244.5, 306008.125, 304069.8125, 303361.65625
229.7973175048828, 321733.6875, 316120.5625, 309162.09375, 305930.1875, 304049.09375, 303409.0625
229.89907836914062, 321765.71875, 316152.9375, 309216.03125, 306016.25, 304150.28125, 303436.40625
230.00131225585938, 322088.8125, 316476.0625, 309498.1875, 306349.0625, 304067.0625, 303346.25
230.101318359375, 322200.71875, 316588.125, 309634.65625, 306362.15625, 304487.03125, 303767.65625
230.20237731933594, 322099.65625, 316486.4375, 309532.625, 306098.6875, 304367.5625, 303610.3125
230.30335998535156, 321997.09375, 316383.78125, 309425.0, 306214.9375, 304406.5625, 303489.1875
230.40496826171875, 322057.75, 316444.21875, 309480.90625, 306249.59375, 304309.25, 303387.09375
230.50596618652344, 322024.21875, 316407.90625, 309408.40625, 306122.59375, 304274.46875, 303454.25
